gene_id	chrom_start	chrom_end	description	gene_id	gene_synonym	gene
gene_00492	547515	548285	Ontology_term:GO:0005524, go_function:ATP binding|0005524||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_010213709.1, product:ParA family protein, protein_id:WP_011058854.1	HH203_RS02435		
gene_00493	548337	548771	Ontology_term:GO:0006662, Ontology_term:GO:0015035, gene:trxC, go_function:protein-disulfide reductase activity|0015035||IEA, go_process:glycerol ether metabolic process|0006662||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_008016978.1, product:thioredoxin TrxC, protein_id:WP_011058855.1	HH203_RS02440		trxC
gene_00494	548871	549821	inference:COORDINATES: similar to AA sequence:RefSeq:WP_019095200.1, product:hypothetical protein, protein_id:WP_225368720.1	HH203_RS02445		
gene_00495	549848	550792	inference:COORDINATES: ab initio prediction:GeneMarkS-2+, product:hypothetical protein, protein_id:WP_011058857.1	HH203_RS02450		
gene_00496	550875	551315	Ontology_term:GO:0016020, inference:COORDINATES: similar to AA sequence:RefSeq:WP_019095202.1, product:IgaA/UmoB family intracellular growth attenuator, protein_id:WP_015633891.1	HH203_RS02455		
gene_00497	551490	552953	inference:COORDINATES: similar to AA sequence:RefSeq:NP_253710.1, product:YdiU family protein, protein_id:WP_011058859.1	HH203_RS02460		
gene_00498	553003	556356	Ontology_term:GO:0055085, Ontology_term:GO:0016020, gene:mscK, go_process:transmembrane transport|0055085||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_007952329.1, product:mechanosensitive channel MscK, protein_id:WP_011058860.1	HH203_RS02465		mscK
gene_00499	556419	558161	Ontology_term:GO:0006813, Ontology_term:GO:0006884, Ontology_term:GO:0055085, Ontology_term:GO:0051139, Ontology_term:GO:0016020, go_function:metal cation:proton antiporter activity|0051139||IEA, go_process:potassium ion transport|0006813||IEA, go_process:cell volume homeostasis|0006884||IEA, go_process:transmembrane transport|0055085||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_012721847.1, product:potassium/proton antiporter, protein_id:WP_011058861.1	HH203_RS02470		
gene_00500	558338	559963	Ontology_term:GO:0006935, go_process:chemotaxis|0006935||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_003187969.1, product:methyl-accepting chemotaxis protein, protein_id:WP_015633894.1	HH203_RS02475		
gene_00501	560158	561783	Ontology_term:GO:0006935, go_process:chemotaxis|0006935||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_003187969.1, product:methyl-accepting chemotaxis protein, protein_id:WP_011058863.1	HH203_RS02480		
gene_00502	562095	562325	inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633896.1, product:hypothetical protein, protein_id:WP_015633896.1	HH203_RS02485		
gene_00503	562322	562624	Ontology_term:GO:0000917, go_process:division septum assembly|0000917||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058865.1, product:cell division protein ZapA, protein_id:WP_011058865.1	HH203_RS02490		
gene_00504	562743	564680	Ontology_term:GO:0006935, go_process:chemotaxis|0006935||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_008042041.1, product:methyl-accepting chemotaxis protein, protein_id:WP_015633897.1	HH203_RS02495		
gene_00505	564741	566543	inference:COORDINATES: similar to AA sequence:RefSeq:NP_253707.1, product:acyl-CoA dehydrogenase, protein_id:WP_011058867.1	HH203_RS02500		
gene_00506	566806	570759	Ontology_term:GO:0006355, Ontology_term:GO:0006561, Ontology_term:GO:0003700, Ontology_term:GO:0003842, Ontology_term:GO:0004657, Ontology_term:GO:0016620, gene:putA, go_function:DNA-binding transcription factor activity|0003700||IEA, go_function:1-pyrroline-5-carboxylate dehydrogenase activity|0003842||IEA, go_function:proline dehydrogenase activity|0004657||IEA, go_function:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor|0016620||IEA, go_process:regulation of DNA-templated transcription|0006355||IEA, go_process:proline biosynthetic process|0006561||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_013692109.1, product:trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase, protein_id:WP_011058868.1	HH203_RS02505		putA
gene_00507	570841	571098	inference:COORDINATES: ab initio prediction:GeneMarkS-2+, product:hypothetical protein, protein_id:WP_125063653.1	HH203_RS02510		
gene_00508	571223	572707	Ontology_term:GO:0015824, Ontology_term:GO:0005298, Ontology_term:GO:0016020, gene:putP, go_function:proline:sodium symporter activity|0005298||IEA, go_process:proline transport|0015824||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_007926806.1, product:sodium/proline symporter PutP, protein_id:WP_011058869.1	HH203_RS02515		putP
gene_00509	572892	573386	inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058870.1, product:DUF2165 domain-containing protein, protein_id:WP_011058870.1	HH203_RS02520		
gene_00510	573495	574766	inference:COORDINATES: similar to AA sequence:RefSeq:WP_019093026.1, product:aminotransferase class V-fold PLP-dependent enzyme, protein_id:WP_011058871.1	HH203_RS02525		
gene_00511	575016	576440	Ontology_term:GO:0006071, Ontology_term:GO:0016310, Ontology_term:GO:0004370, Ontology_term:GO:0005524, go_function:glycerol kinase activity|0004370||IEA, go_function:ATP binding|0005524||IEA, go_process:glycerol metabolic process|0006071||IEA, go_process:phosphorylation|0016310||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633902.1, product:glycerol kinase, protein_id:WP_011058872.1	HH203_RS02530		
gene_00512	576443	577699	Ontology_term:GO:0016491, go_function:oxidoreductase activity|0016491||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_019093027.1, product:FAD-dependent oxidoreductase, protein_id:WP_011058873.1	HH203_RS02535		
gene_00513	577686	579092	inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633904.1, product:NAD(P)/FAD-dependent oxidoreductase, protein_id:WP_015633904.1	HH203_RS02540		
gene_00514	579250	580014	Ontology_term:GO:0003700, go_function:DNA-binding transcription factor activity|0003700||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058875.1, product:DeoR/GlpR family DNA-binding transcription regulator, protein_id:WP_011058875.1	HH203_RS02545		
gene_00515	580397	581632	gene:eutH, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058876.1, product:ethanolamine utilization protein EutH, protein_id:WP_011058876.1	HH203_RS02550		eutH
gene_00516	581669	582025	inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058877.1, product:DUF1937 family protein, protein_id:WP_011058877.1	HH203_RS02555		
gene_00517	582129	582965	Ontology_term:GO:0070475, Ontology_term:GO:0008649, gene:rlmJ, go_function:rRNA methyltransferase activity|0008649||IEA, go_process:rRNA base methylation|0070475||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_020308620.1, product:23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ, protein_id:WP_011058878.1	HH203_RS02560		rlmJ
gene_00518	583028	583675	Ontology_term:GO:0006979, Ontology_term:GO:0030091, Ontology_term:GO:0008113, Ontology_term:GO:0033744, gene:msrA, go_function:peptide-methionine (S)-S-oxide reductase activity|0008113||IEA, go_function:L-methionine:thioredoxin-disulfide S-oxidoreductase activity|0033744||IEA, go_process:response to oxidative stress|0006979||IEA, go_process:protein repair|0030091||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_019691446.1, product:peptide-methionine (S)-S-oxide reductase MsrA, protein_id:WP_011058879.1	HH203_RS02565		msrA
gene_00519	583750	586443	inference:COORDINATES: similar to AA sequence:RefSeq:WP_016704477.1, product:GGDEF and EAL domain-containing protein, protein_id:WP_011058880.1	HH203_RS02570		
gene_00520	586755	588704	Ontology_term:GO:0006086, Ontology_term:GO:0004742, Ontology_term:GO:0045254, gene:aceF, go_function:dihydrolipoyllysine-residue acetyltransferase activity|0004742||IEA, go_process:acetyl-CoA biosynthetic process from pyruvate|0006086||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058881.1, product:dihydrolipoyllysine-residue acetyltransferase, protein_id:WP_011058881.1	HH203_RS02575		aceF
gene_00521	588716	591361	Ontology_term:GO:0006086, Ontology_term:GO:0004738, Ontology_term:GO:0045250, gene:aceE, go_function:pyruvate dehydrogenase activity|0004738||IEA, go_process:acetyl-CoA biosynthetic process from pyruvate|0006086||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_253702.1, product:pyruvate dehydrogenase (acetyl-transferring), homodimeric type, protein_id:WP_011058882.1	HH203_RS02580		aceE
gene_00522	591745	594684	Ontology_term:GO:0008882, gene:glnE, go_function:[glutamate-ammonia-ligase] adenylyltransferase activity|0008882||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_016972664.1, product:bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase, protein_id:WP_011058883.1	HH203_RS02585		glnE
gene_00523	594819	595853	Ontology_term:GO:0009244, Ontology_term:GO:0008920, gene:waaF, go_function:lipopolysaccharide heptosyltransferase activity|0008920||IEA, go_process:lipopolysaccharide core region biosynthetic process|0009244||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_017336199.1, product:lipopolysaccharide heptosyltransferase II, protein_id:WP_011058884.1	HH203_RS02590		waaF
gene_00524	595855	596916	Ontology_term:GO:0009244, Ontology_term:GO:0008920, gene:waaC, go_function:lipopolysaccharide heptosyltransferase activity|0008920||IEA, go_process:lipopolysaccharide core region biosynthetic process|0009244||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_008016956.1, product:lipopolysaccharide heptosyltransferase I, protein_id:WP_011058885.1	HH203_RS02595		waaC
gene_00525	596916	598040	Ontology_term:GO:0016757, go_function:glycosyltransferase activity|0016757||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_016975592.1, product:glycosyltransferase family 4 protein, protein_id:WP_011058886.1	HH203_RS02600		
gene_00526	598037	598843	Ontology_term:GO:0009103, Ontology_term:GO:0016301, gene:rfaP, go_function:kinase activity|0016301||IEA, go_process:lipopolysaccharide biosynthetic process|0009103||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_253696.1, product:lipopolysaccharide core heptose(I) kinase RfaP, protein_id:WP_011058887.1	HH203_RS02605		rfaP
gene_00527	598843	599577	inference:COORDINATES: similar to AA sequence:RefSeq:NP_253695.1, product:lipopolysaccharide kinase InaA family protein, protein_id:WP_011058888.1	HH203_RS02610		
gene_00528	599574	600326	inference:COORDINATES: similar to AA sequence:RefSeq:WP_008004905.1, product:lipopolysaccharide kinase InaA family protein, protein_id:WP_011058889.1	HH203_RS02615		
gene_00529	600326	601780	inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058890.1, product:lipopolysaccharide kinase InaA family protein, protein_id:WP_011058890.1	HH203_RS02620		
gene_00530	601980	603737	inference:COORDINATES: similar to AA sequence:RefSeq:NP_253692.1, product:carbamoyltransferase, protein_id:WP_011058891.1	HH203_RS02625		
gene_00531	603721	604851	Ontology_term:GO:0016757, go_function:glycosyltransferase activity|0016757||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_007902548.1, product:glycosyltransferase, protein_id:WP_011058892.1	HH203_RS02630		
gene_00532	604851	605747	inference:COORDINATES: similar to AA sequence:RefSeq:NP_253690.1, product:antimicrobial resistance protein Mig-14, protein_id:WP_011058893.1	HH203_RS02635		
gene_00533	605756	607168	inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058894.1, product:PIG-L family deacetylase, protein_id:WP_011058894.1	HH203_RS02640		
gene_00534	607221	608099	inference:COORDINATES: similar to AA sequence:RefSeq:WP_019093035.1, product:DUF6625 family protein, protein_id:WP_011058895.1	HH203_RS02645		
gene_00535	608102	609253	Ontology_term:GO:0016757, go_function:glycosyltransferase activity|0016757||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633915.1, product:glycosyltransferase, protein_id:WP_011058896.1	HH203_RS02650		
gene_00536	609253	610137	inference:COORDINATES: similar to AA sequence:RefSeq:WP_015093197.1, product:glycosyltransferase, protein_id:WP_011058897.1	HH203_RS02655		
gene_00537	610152	610772	Ontology_term:GO:0046677, Ontology_term:GO:0016746, go_function:acyltransferase activity|0016746||IEA, go_process:response to antibiotic|0046677||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058898.1, product:CatB-related O-acetyltransferase, protein_id:WP_011058898.1	HH203_RS02660		
gene_00538	610852	612714	inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633917.1, product:O-antigen ligase family protein, protein_id:WP_011058899.1	HH203_RS02665		
gene_00539	612871	614676	Ontology_term:GO:0006869, Ontology_term:GO:0005319, gene:msbA, go_function:lipid transporter activity|0005319||IEA, go_process:lipid transport|0006869||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058900.1, product:lipid A export permease/ATP-binding protein MsbA, protein_id:WP_011058900.1	HH203_RS02670		msbA
gene_00540	614864	615568	Ontology_term:GO:0008146, Ontology_term:GO:0016020, go_function:sulfotransferase activity|0008146||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_008027875.1, product:sulfotransferase family 2 domain-containing protein, protein_id:WP_011058901.1	HH203_RS02675		
gene_00541	615561	616172	Ontology_term:GO:0006790, Ontology_term:GO:0004020, gene:cysC, go_function:adenylylsulfate kinase activity|0004020||IEA, go_process:sulfur compound metabolic process|0006790||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633919.1, product:adenylyl-sulfate kinase, protein_id:WP_011058902.1	HH203_RS02680		cysC
gene_00542	616275	617708	Ontology_term:GO:0005975, Ontology_term:GO:0009058, Ontology_term:GO:0016779, gene:hldE, go_function:nucleotidyltransferase activity|0016779||IEA, go_process:carbohydrate metabolic process|0005975||IEA, go_process:biosynthetic process|0009058||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058903.1, product:bifunctional D-glycero-beta-D-manno-heptose-7-phosphate kinase/D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase HldE, protein_id:WP_011058903.1	HH203_RS02685		hldE
gene_00543	617760	618731	inference:COORDINATES: similar to AA sequence:RefSeq:WP_019093038.1, product:hypothetical protein, protein_id:WP_011058904.1	HH203_RS02690		
gene_00544	618773	619585	inference:COORDINATES: similar to AA sequence:RefSeq:WP_018928536.1, product:aldo/keto reductase, protein_id:WP_011058905.1	HH203_RS02695		
gene_00545	619582	620757	Ontology_term:GO:0016491, go_function:oxidoreductase activity|0016491||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_020801207.1, product:FAD-dependent oxidoreductase, protein_id:WP_011058906.1	HH203_RS02700		
gene_00546	620868	621200	Ontology_term:GO:0022857, go_function:transmembrane transporter activity|0022857||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_010450412.1, product:multidrug efflux SMR transporter, protein_id:WP_011058907.1	HH203_RS02705		
gene_00547	621311	622195	Ontology_term:GO:0006355, Ontology_term:GO:0003700, go_function:DNA-binding transcription factor activity|0003700||IEA, go_process:regulation of DNA-templated transcription|0006355||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_253676.1, product:LysR family transcriptional regulator, protein_id:WP_015633922.1	HH203_RS02710		
gene_00548	622218	623498	Ontology_term:GO:0016740, gene:waaA, go_function:transferase activity|0016740||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058909.1, product:lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase, protein_id:WP_011058909.1	HH203_RS02715		waaA
gene_00549	623598	625028	Ontology_term:GO:0006810, Ontology_term:GO:0015288, Ontology_term:GO:0009279, go_function:porin activity|0015288||IEA, go_process:transport|0006810||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_019093040.1, product:TolC family outer membrane protein, protein_id:WP_011058910.1	HH203_RS02720		
gene_00550	625494	627383	Ontology_term:GO:0009228, Ontology_term:GO:0051536, gene:thiC, go_function:iron-sulfur cluster binding|0051536||IEA, go_process:thiamine biosynthetic process|0009228||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_253660.1, product:phosphomethylpyrimidine synthase ThiC, protein_id:WP_011058911.1	HH203_RS02725		thiC
gene_00551	627497	628789	Ontology_term:GO:0055085, Ontology_term:GO:0022857, Ontology_term:GO:0016020, gene:cytX, go_function:transmembrane transporter activity|0022857||IEA, go_process:transmembrane transport|0055085||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_003221056.1, product:putative hydroxymethylpyrimidine transporter CytX, protein_id:WP_011058912.1	HH203_RS02730		cytX
gene_00552	628758	629504	inference:COORDINATES: similar to AA sequence:RefSeq:WP_007915753.1, product:RsiV family protein, protein_id:WP_011058913.1	HH203_RS02735		
gene_00553	629729	630346	Ontology_term:GO:0016787, go_function:hydrolase activity|0016787||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_019691482.1, product:NUDIX domain-containing protein, protein_id:WP_011058914.1	HH203_RS02740		
gene_00554	630337	630789	inference:COORDINATES: similar to AA sequence:RefSeq:WP_003377111.1, product:DUF1249 domain-containing protein, protein_id:WP_011058915.1	HH203_RS02745		
gene_00555	630889	631704	Ontology_term:GO:0004115, gene:cpdA, go_function:3',5'-cyclic-AMP phosphodiesterase activity|0004115||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_009046674.1, product:3',5'-cyclic-AMP phosphodiesterase, protein_id:WP_011058916.1	HH203_RS02750		cpdA
gene_00556	631772	632380	inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633927.1, product:YqiA/YcfP family alpha/beta fold hydrolase, protein_id:WP_011058917.1	HH203_RS02755		
gene_00557	632423	634327	Ontology_term:GO:0006265, Ontology_term:GO:0003918, Ontology_term:GO:0009340, gene:parE, go_function:DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity|0003918||IEA, go_process:DNA topological change|0006265||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_003221068.1, product:DNA topoisomerase IV subunit B, protein_id:WP_011058918.1	HH203_RS02760		parE
gene_00558	634327	635310	inference:COORDINATES: similar to AA sequence:RefSeq:WP_018928523.1, product:esterase-like activity of phytase family protein, protein_id:WP_011058919.1	HH203_RS02765		
gene_00559	635307	635828	Ontology_term:GO:0008150, Ontology_term:GO:0004190, go_function:aspartic-type endopeptidase activity|0004190||IEA, go_process:biological_process|0008150||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_016985690.1, product:TIGR02281 family clan AA aspartic protease, protein_id:WP_011058920.1	HH203_RS02770		
gene_00560	635836	638094	Ontology_term:GO:0006265, Ontology_term:GO:0003918, Ontology_term:GO:0009340, gene:parC, go_function:DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity|0003918||IEA, go_process:DNA topological change|0006265||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_008063558.1, product:DNA topoisomerase IV subunit A, protein_id:WP_011058921.1	HH203_RS02775		parC
gene_00561	638274	638984	inference:COORDINATES: similar to AA sequence:RefSeq:WP_019582189.1, product:ABC-type transport auxiliary lipoprotein family protein, protein_id:WP_026019966.1	HH203_RS02780		
gene_00562	639214	640740	inference:COORDINATES: similar to AA sequence:RefSeq:WP_016704503.1, product:AhpA/YtjB family protein, protein_id:WP_011058923.1	HH203_RS02785		
gene_00563	640874	642088	Ontology_term:GO:0006564, Ontology_term:GO:0036424, gene:serB, go_function:L-phosphoserine phosphatase activity|0036424||IEA, go_process:L-serine biosynthetic process|0006564||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_012721901.1, product:phosphoserine phosphatase SerB, protein_id:WP_011058924.1	HH203_RS02790		serB
gene_00564	642160	643020	Ontology_term:GO:0008654, Ontology_term:GO:0004609, gene:asd, go_function:phosphatidylserine decarboxylase activity|0004609||IEA, go_process:phospholipid biosynthetic process|0008654||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_016972617.1, product:archaetidylserine decarboxylase, protein_id:WP_015633932.1	HH203_RS02795		asd
gene_00565	643039	643854	gene:rhdA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_253643.1, product:thiosulfate sulfurtransferase, protein_id:WP_011058926.1	HH203_RS02800		rhdA
gene_00566	643898	645436	inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058927.1, product:HDOD domain-containing protein, protein_id:WP_011058927.1	HH203_RS02805		
gene_00567	645603	646454	gene:motA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_253641.1, product:flagellar motor stator protein MotA, protein_id:WP_011058928.1	HH203_RS02810		motA
gene_00568	646458	647576	gene:motB, inference:COORDINATES: similar to AA sequence:RefSeq:WP_019095692.1, product:flagellar motor protein MotB, protein_id:WP_011058929.1	HH203_RS02815		motB
gene_00569	647629	648660	Ontology_term:GO:0003924, Ontology_term:GO:0005525, gene:rsgA, go_function:GTPase activity|0003924||IEA, go_function:GTP binding|0005525||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_253639.1, product:small ribosomal subunit biogenesis GTPase RsgA, protein_id:WP_011058930.1	HH203_RS02820		rsgA
gene_00570	648769	649311	Ontology_term:GO:0000175, Ontology_term:GO:0003676, gene:orn, go_function:3'-5'-RNA exonuclease activity|0000175||IEA, go_function:nucleic acid binding|0003676||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_008048058.1, product:oligoribonuclease, protein_id:WP_011058931.1	HH203_RS02825		orn
gene_00571	649429	650043	Ontology_term:GO:0005886, Ontology_term:GO:0016020, inference:COORDINATES: similar to AA sequence:RefSeq:NP_249728.1, product:trimeric intracellular cation channel family protein, protein_id:WP_169893104.1	HH203_RS02830		
gene_00572	650025	651104	Ontology_term:GO:0008616, Ontology_term:GO:0051539, Ontology_term:GO:0052693, gene:queG, go_function:4 iron, 4 sulfur cluster binding|0051539||IEA, go_function:epoxyqueuosine reductase activity|0052693||IEA, go_process:queuosine biosynthetic process|0008616||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_010563319.1, product:tRNA epoxyqueuosine(34) reductase QueG, protein_id:WP_011058933.1	HH203_RS02835		queG
gene_00573	651168	652028	Ontology_term:GO:0052855, go_function:ADP-dependent NAD(P)H-hydrate dehydratase activity|0052855||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058934.1, product:NAD(P)H-hydrate dehydratase, protein_id:WP_011058934.1	HH203_RS02840		
gene_00574	652016	652486	Ontology_term:GO:0006400, Ontology_term:GO:0016887, Ontology_term:GO:0005737, gene:tsaE, go_function:ATP hydrolysis activity|0016887||IEA, go_process:tRNA modification|0006400||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_008048062.1, product:tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE, protein_id:WP_011058935.1	HH203_RS02845		tsaE
gene_00575	652490	653917	Ontology_term:GO:0009253, Ontology_term:GO:0008745, go_function:N-acetylmuramoyl-L-alanine amidase activity|0008745||IEA, go_process:peptidoglycan catabolic process|0009253||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_007995025.1, product:N-acetylmuramoyl-L-alanine amidase, protein_id:WP_197731927.1	HH203_RS02850		
gene_00576	653914	655824	Ontology_term:GO:0006298, Ontology_term:GO:0005524, Ontology_term:GO:0016887, Ontology_term:GO:0030983, Ontology_term:GO:0032300, gene:mutL, go_function:ATP binding|0005524||IEA, go_function:ATP hydrolysis activity|0016887||IEA, go_function:mismatched DNA binding|0030983||IEA, go_process:mismatch repair|0006298||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_253633.1, product:DNA mismatch repair endonuclease MutL, protein_id:WP_011058937.1	HH203_RS02855		mutL
gene_00577	655824	656795	Ontology_term:GO:0006400, Ontology_term:GO:0052381, Ontology_term:GO:0005737, gene:miaA, go_function:tRNA dimethylallyltransferase activity|0052381||IEA, go_process:tRNA modification|0006400||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_253632.1, product:tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA, protein_id:WP_011058938.1	HH203_RS02860		miaA
gene_00578	656888	657148	Ontology_term:GO:0006355, Ontology_term:GO:0003723, gene:hfq, go_function:RNA binding|0003723||IEA, go_process:regulation of DNA-templated transcription|0006355||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_253631.1, product:RNA chaperone Hfq, protein_id:WP_007921378.1	HH203_RS02865		hfq
gene_00579	657161	658462	Ontology_term:GO:0005525, gene:hflX, go_function:GTP binding|0005525||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_253630.1, product:ribosome rescue GTPase HflX, protein_id:WP_011058939.1	HH203_RS02870		hflX
gene_00580	658559	659737	Ontology_term:GO:0045861, Ontology_term:GO:0003674, Ontology_term:GO:0030288, gene:hflK, go_function:molecular_function|0003674||IEA, go_process:negative regulation of proteolysis|0045861||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_005784234.1, product:FtsH protease activity modulator HflK, protein_id:WP_011058940.1	HH203_RS02875		hflK
gene_00581	659737	660606	Ontology_term:GO:0045861, Ontology_term:GO:0003674, Ontology_term:GO:0030288, gene:hflC, go_function:molecular_function|0003674||IEA, go_process:negative regulation of proteolysis|0045861||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_019691508.1, product:protease modulator HflC, protein_id:WP_011058941.1	HH203_RS02880		hflC
gene_00582	660899	662086	Ontology_term:GO:0000105, go_process:histidine biosynthetic process|0000105||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_253626.1, product:ATP phosphoribosyltransferase regulatory subunit, protein_id:WP_011058942.1	HH203_RS02885		
gene_00583	662141	663433	Ontology_term:GO:0006164, Ontology_term:GO:0004019, Ontology_term:GO:0005525, go_function:adenylosuccinate synthase activity|0004019||IEA, go_function:GTP binding|0005525||IEA, go_process:purine nucleotide biosynthetic process|0006164||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_253625.1, product:adenylosuccinate synthase, protein_id:WP_011058943.1	HH203_RS02890		
gene_00584	663573	665507	Ontology_term:GO:0098561, inference:COORDINATES: similar to AA sequence:RefSeq:WP_008078326.1, product:methyl-accepting chemotaxis protein, protein_id:WP_011058944.1	HH203_RS02895		
gene_00585	665574	667139	Ontology_term:GO:0006826, Ontology_term:GO:0042626, Ontology_term:GO:0140359, go_function:ATPase-coupled transmembrane transporter activity|0042626||IEA, go_function:ABC-type transporter activity|0140359||IEA, go_process:iron ion transport|0006826||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_007902669.1, product:iron ABC transporter permease, protein_id:WP_011058945.1	HH203_RS02900		
gene_00586	667139	668164	inference:COORDINATES: similar to AA sequence:RefSeq:WP_008068882.1, product:extracellular solute-binding protein, protein_id:WP_011058946.1	HH203_RS02905		
gene_00587	668915	671542	Ontology_term:GO:0016070, Ontology_term:GO:0004540, gene:rnr, go_function:RNA nuclease activity|0004540||IEA, go_process:RNA metabolic process|0016070||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_007915842.1, product:ribonuclease R, protein_id:WP_011058947.1	HH203_RS02920		rnr
gene_00588	671539	672303	Ontology_term:GO:0009451, Ontology_term:GO:0008173, gene:rlmB, go_function:RNA methyltransferase activity|0008173||IEA, go_process:RNA modification|0009451||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058948.1, product:23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB, protein_id:WP_011058948.1	HH203_RS02925		rlmB
gene_00589	672554	672979	Ontology_term:GO:0006412, Ontology_term:GO:0003735, Ontology_term:GO:0000314, Ontology_term:GO:0022627, gene:rpsF, go_function:structural constituent of ribosome|0003735||IEA, go_process:translation|0006412||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058949.1, product:30S ribosomal protein S6, protein_id:WP_011058949.1	HH203_RS02930		rpsF
