gene_callers_id	chrom_start	chrom_end	COG_accession	COG_function	KO_accession	KEGG_function
1869	2081361	2082180	COG1806	Regulator of PEP synthase PpsR, kinase-PPPase family (combines ADP:protein kinase and phosphorylase activities) (PpsR) (PDB:5D0N)	K09773	[pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]
1870	2082354	2084730	COG0574	Phosphoenolpyruvate synthase/pyruvate phosphate dikinase (PpsA) (PDB:5HV6)	K01007	pyruvate, water dikinase [EC:2.7.9.2]
1871	2084832	2085822	COG2267	Lysophospholipase, alpha-beta hydrolase superfamily (PldB) (PDB:5O7G)		
1872	2086069	2086561	COG0684	RNA degradosome component RraA (regulator of RNase E activity) (RraA) (PDB:1J3L) (PUBMED:20471400)	K02553	regulator of ribonuclease activity A
1873	2086586	2087582	COG0598	Mg2+ and Co2+ transporter CorA (CorA) (PDB:2BBH)	K16074	zinc transporter
1874	2087645	2087891				
1875	2087893	2088718	COG0668	Small-conductance mechanosensitive channel (MscS) (PDB:2OAU)		
1876	2088806	2089397	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z)	K03088	RNA polymerase sigma-70 factor, ECF subfamily
1877	2089504	2090482	COG2885	Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins (OmpA) (PDB:1OAP)	K03286	OmpA-OmpF porin, OOP family
1878	2102354	2103374	COG0167	Dihydroorotate dehydrogenase (PyrD) (PDB:1GT8)	K00254	dihydroorotate dehydrogenase [EC:1.3.5.2]
1879	2103507	2103723	COG3130	Ribosome modulation factor (Rmf) (PDB:2JRM)	K03812	ribosome modulation factor
1880	2104267	2106532	COG0116!!!COG1092	23S rRNA G2445 N2-methylase RlmL (RlmL) (PDB:3V97) (PUBMED:22362734)!!!23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI (RlmK) (PDB:2B78)	K12297	23S rRNA (guanine2069-N7)-methyltransferase / 23S rRNA (guanine2445-N2)-methyltransferase [EC:2.1.1.264 2.1.1.173]
1881	2106668	2109068	COG2199!!!COG2202!!!COG3614	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!PAS domain (PAS) (PDB:2MWG)!!!Extracytoplasmic sensor domain CHASE1 (specificity unknown) (CHASE1) (PDB:3T4J)		
1882	2109110	2110571	COG2027	D-alanyl-D-alanine carboxypeptidase (DacB) (PDB:1W5D)	K07259	serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]
1883	2110805	2111150	COG3171	Uncharacterized conserved protein YggL, DUF469 family (YggL)	K09923	uncharacterized protein
1884	2111340	2112531	COG3135	Predicted benzoate:H+ symporter BenE (BenE)	K05782	benzoate membrane transport protein
1885	2112850	2113615	COG1802	DNA-binding transcriptional regulator, GntR family (GntR) (PDB:3FMS)	K05799	GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
1886	2113823	2114774	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
1887	2114922	2115756	COG3248	Nucleoside-specific outer membrane channel protein Tsx (Tsx) (PDB:1TLW)		
1888	2115839	2117144	COG0402	Cytosine/adenosine deaminase or related metal-dependent hydrolase (SsnA) (PDB:3O7U)	K01487	guanine deaminase [EC:3.5.4.3]
1889	2117168	2118011	COG1975	Molybdoenzyme maturation factor PaoD (Mo cofactor insertion), XdhC/CoxF family (XdhC) (PDB:2WE7) (PUBMED:24498065)	K07402	xanthine dehydrogenase accessory factor
1890	2118096	2120496	COG4631	Xanthine dehydrogenase, molybdopterin-binding subunit XdhB (XdhB)	K13482	xanthine dehydrogenase large subunit [EC:1.17.1.4]
1891	2120488	2121943	COG4630	Xanthine dehydrogenase, Fe-S cluster and FAD-binding subunit XdhA (XdhA)	K13481	xanthine dehydrogenase small subunit [EC:1.17.1.4]
1892	2122209	2122869	COG1802	DNA-binding transcriptional regulator, GntR family (GntR) (PDB:3FMS)		
1893	2122871	2126360	COG1196	Chromosome segregation ATPase Smc (Smc) (PDB:5XG3)	K03529	chromosome segregation protein
1894	2126606	2127461	COG3115	Cell division protein ZipA, interacts with FtsZ (ZipA) (PDB:1F46)	K03528	cell division protein ZipA
1895	2127586	2129953	COG0272	NAD-dependent DNA ligase (Lig) (PDB:5TT5)	K01972	DNA ligase (NAD+) [EC:6.5.1.2]
1896	2130073	2131240	COG4307	Uncharacterized conserved protein, DUF2248 family		
1897	2131754	2132258	COG2320	GrpB domain, predicted nucleotidyltransferase, UPF0157 family (GrpB) (PDB:6N39)		
1898	2132311	2133178	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K21959	LysR family transcriptional regulator, cell division regulator
1899	2133259	2134207	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily (RhaT) (PDB:5I20)		
1900	2134262	2135156	COG4714	Uncharacterized membrane-anchored protein		
1901	2135287	2135659	COG0346	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)	K07032	uncharacterized protein
1902	2135805	2136120	COG1396	Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)	K07729	putative transcriptional regulator
1903	2136564	2138130	COG0840!!!COG2202	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)!!!PAS domain (PAS) (PDB:2MWG)	K03776, K03406	aerotaxis receptor, methyl-accepting chemotaxis protein
1904	2138148	2139867	COG2202!!!COG5001	PAS domain (PAS) (PDB:2MWG)!!!Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain		
1905	2139839	2140610	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)		
1906	2140749	2142828	COG2812	DNA polymerase III, gamma/tau subunits (DnaX) (PDB:1A5T)	K02343	DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
1907	2142894	2143233	COG0718	DNA-binding nucleoid-associated protein YbaB/EfbC (YbaB) (PDB:1J8B) (PUBMED:19594923;22544270)	K09747	nucleoid-associated protein EbfC
1908	2143439	2144486	COG2130	NADPH-dependent curcumin reductase CurA (CurA) (PDB:1V3T) (PUBMED:21467222)	K23256	NADPH-dependent curcumin reductase [EC:1.3.1.-]
1909	2144544	2145147	COG0353	Recombinational DNA repair protein RecR (RecR) (PDB:2JGR) (PUBMED:26337406)	K06187	recombination protein RecR
1910	2145249	2146398	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)	K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]
1911	2146405	2146954	COG0503	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein (Apt) (PDB:1QB7)	K00759	adenine phosphoribosyltransferase [EC:2.4.2.7]
1912	2147035	2147770	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases (Crp) (PDB:1FT9)	K01420	CRP/FNR family transcriptional regulator, anaerobic regulatory protein
1913	2147923	2148403				
1914	2148399	2149782	COG0635	Coproporphyrinogen-III oxidase HemN  (oxygen-independent) or related Fe-S oxidoreductase (HemN) (PDB:1OLT)	K02495	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]
1915	2149930	2150614	COG2836	Uncharacterized membrane protein, DsbD domain (DsbD) (PUBMED:17768248)	K09792	uncharacterized protein
1916	2150606	2150837	COG3197	Cytochrome oxidase maturation protein, CcoS/FixS family (FixS)		
1917	2150858	2153309	COG2217	Cation-transporting P-type ATPase (ZntA) (PDB:4BBJ)		
1918	2153408	2153945	COG3198	Uncharacterized conserved protein	K09926	uncharacterized protein
1919	2153956	2155372	COG0348	Polyferredoxin NapH (NapH) (PUBMED:27322068)		
1920	2155765	2156743	COG2010!!!COG2863	Cytochrome c, mono- and diheme variants (CccA) (PDB:1A2S)!!!Cytochrome c553 (CytC553) (PDB:6Q2U)	K00406	cytochrome c oxidase cbb3-type subunit III
1921	2156739	2156913	COG4736	Cbb3-type cytochrome oxidase, subunit 3 (CcoQ)	K00407	cytochrome c oxidase cbb3-type subunit IV
1922	2156930	2157539	COG2993	Cbb3-type cytochrome oxidase, cytochrome c subunit FixO (CcoO) (PDB:3MK7)	K00405	cytochrome c oxidase cbb3-type subunit II
1923	2157538	2158981	COG3278	Cbb3-type cytochrome oxidase, subunit 1 (CcoN) (PDB:3MK7)	K00404	cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]
1924	2159479	2160421	COG2010!!!COG2863	Cytochrome c, mono- and diheme variants (CccA) (PDB:1A2S)!!!Cytochrome c553 (CytC553) (PDB:6Q2U)	K00406	cytochrome c oxidase cbb3-type subunit III
1925	2160417	2160648	COG4736	Cbb3-type cytochrome oxidase, subunit 3 (CcoQ)	K00407	cytochrome c oxidase cbb3-type subunit IV
1926	2160651	2161260	COG2993	Cbb3-type cytochrome oxidase, cytochrome c subunit FixO (CcoO) (PDB:3MK7)	K00405	cytochrome c oxidase cbb3-type subunit II
1927	2161270	2162695	COG3278	Cbb3-type cytochrome oxidase, subunit 1 (CcoN) (PDB:3MK7)	K00404	cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]
1928	2162794	2163490	COG3571	Predicted hydrolase of the alpha/beta-hydrolase fold	K07020	uncharacterized protein
1929	2163658	2165224	COG0840!!!COG2202	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)!!!PAS domain (PAS) (PDB:2MWG)	K03776, K03406	aerotaxis receptor, methyl-accepting chemotaxis protein
1930	2189128	2191870	COG1048	Aconitase A (AcnA) (PDB:1ACO)	K01681	aconitate hydratase [EC:4.2.1.3]
1931	2192078	2193152	COG2933	23S rRNA C2498 (ribose-2'-O)-methylase RlmM (RlmM) (PDB:4AUK)	K06968	23S rRNA (cytidine2498-2'-O)-methyltransferase [EC:2.1.1.186]
1932	2193343	2193595	COG0425	Sulfur carrier protein TusA (tRNA thiolation, molybdenum cofactor biosynthesis) (TusA) (PDB:1DCJ) (PUBMED:23894086)	K04085	tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-]
1933	2193591	2195007	COG0534	Na+-driven multidrug efflux pump, DinF/NorM/MATE family (NorM) (PDB:3VVN) (PUBMED:29915058)	K03327	multidrug resistance protein, MATE family
1934	2195197	2196340	COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase (SerA) (PDB:3OET)	K03473	erythronate-4-phosphate dehydrogenase [EC:1.1.1.290]
1935	2196397	2196577				
1936	2196845	2198600	COG1132	ABC-type multidrug transport system, ATPase and permease component (MdlB) (PDB:2HYD)	K06147	ATP-binding cassette, subfamily B, bacterial
1937	2198803	2200732	COG0741	Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain) (MltE) (PDB:153L)	K08309	soluble lytic murein transglycosylase [EC:4.2.2.-]
1938	2200945	2202865	COG0488	ATPase components of ABC transporters with duplicated ATPase domains (Uup) (PDB:5ZXD)	K15738	ABC transport system ATP-binding/permease protein
1939	2202960	2203398	COG0589	Nucleotide-binding universal stress protein,  UspA family (UspA) (PDB:1JMV)	K06149	universal stress protein A
1940	2203612	2203936				
1941	2204297	2204492				
1942	2204491	2206639	COG1024!!!COG1250	Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)!!!3-hydroxyacyl-CoA dehydrogenase (FadB) (PDB:5ZQZ)	K01825	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]
1943	2206667	2207843	COG0183	Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW)	K00632, K00626	acetyl-CoA acyltransferase [EC:2.3.1.16], acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
1944	2207941	2208178	COG4728	Uncharacterized conserved protein, DUF1653 family (PDB:3BE3)		
1945	2208292	2210905	COG0550!!!COG0551	DNA topoisomerase IA (TopA) (PDB:1CY0)!!!DNA topoisomerase I, ssDNA-binding Zn-finger and Zn-ribbon domains (YrdD) (PDB:1YUA)	K03168	DNA topoisomerase I [EC:5.6.2.1]
1946	2211069	2211594				
1947	2211644	2212679				
1948	2212678	2213695				
1949	2213698	2214256	COG1704	Magnetosome formation protein MamQ, lipoprotein antigen LemA family (LemA) (PDB:2ETD) (PUBMED:14638756;20212111;26884433)	K03744	LemA protein
1950	2214414	2214648				
1951	2214754	2215228	COG5404	Cell division inhibitor SulA, prevents FtsZ ring assembly (SulA) (PDB:1OFT)	K13053	cell division inhibitor SulA
1952	2215238	2215844	COG1974	SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9)	K01356	repressor LexA [EC:3.4.21.88]
1953	2216095	2216803	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)		
1954	2216972	2217983	COG1472	Periplasmic beta-glucosidase and related glycosidases (BglX) (PDB:2X40)	K01207	beta-N-acetylhexosaminidase [EC:3.2.1.52]
1955	2218037	2220728	COG0553	Superfamily II DNA or RNA helicase, SNF2 family (HepA) (PDB:6UXV)	K15192	TATA-binding protein-associated factor [EC:5.6.2.-]
1956	2220739	2221306				
1957	2221316	2224766	COG1197	Transcription-repair coupling factor (superfamily II helicase) (Mfd) (PDB:2EYQ)	K03723	transcription-repair coupling factor (superfamily II helicase) [EC:5.6.2.4]
1958	2224960	2226583	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase (GapA) (PDB:3ZDF)	K00134	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
1959	2226699	2227998	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)	K03288	MFS transporter, MHS family, citrate/tricarballylate:H+ symporter
1960	2228278	2229301	COG1477	FAD:protein FMN transferase ApbE (ApbE) (PDB:1VRM) (PUBMED:23558683;30154099)	K03734	FAD:protein FMN transferase [EC:2.7.1.180]
1961	2229502	2230897	COG1249	Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase (Lpd) (PDB:6QKG)	K00322	NAD(P) transhydrogenase [EC:1.6.1.1]
1962	2230939	2231662	COG0584	Glycerophosphoryl diester phosphodiesterase (UgpQ) (PDB:1O1Z)	K01126	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]
1963	2231712	2232300				
1964	2232394	2233645	COG4591	ABC-type transport system involved in lipoprotein release, permease component LolC (LolE) (PDB:6F49)	K09808, K02004	lipoprotein-releasing system permease protein, putative ABC transport system permease protein
1965	2233637	2234336	COG1136	ABC-type lipoprotein export system, ATPase component (LolD) (PDB:5GKO)	K09810, K02003	lipoprotein-releasing system ATP-binding protein [EC:7.6.2.-], putative ABC transport system ATP-binding protein
1966	2234407	2235652	COG4591	ABC-type transport system involved in lipoprotein release, permease component LolC (LolE) (PDB:6F49)	K09808, K02004	lipoprotein-releasing system permease protein, putative ABC transport system permease protein
1967	2235721	2237083	COG0642	Signal transduction histidine kinase (BaeS) (PDB:1JOY)	K07644	two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]
1968	2237082	2237763	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)	K02483, K07665	two-component system, OmpR family, response regulator, two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR
1969	2237920	2238472	COG4454	Uncharacterized copper-binding protein, cupredoxin-like subfamily		
1970	2238540	2239371	COG0780!!!COG2904	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, C-terminal domain, T-fold superfamily (QueFC) (PDB:3BP1) (PUBMED:14660578;17384645)!!!NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, N-terminal domain (QueFN) (PDB:3BP1)	K06879	7-cyano-7-deazaguanine reductase [EC:1.7.1.13]
1971	2239432	2239696				
1972	2239818	2240439	COG0637	Beta-phosphoglucomutase, HAD superfamily (YcjU) (PDB:3E58) (PUBMED:29684280)		
1973	2240643	2241330	COG2853	Lipoprotein subunit MlaA of the ABC-type intermembrane phospholipid transporter Mla (MlaA) (PDB:5NUQ)	K04754	phospholipid-binding lipoprotein MlaA
1974	2241395	2241695				
1975	2241842	2243156	COG2208	Phosphoserine phosphatase RsbU, regulator of sigma subunit (RsbU) (PDB:5UCG)	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
1976	2243152	2243635	COG1366	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor) (SpoIIAA) (PDB:1AUZ)		
1977	2243708	2244635	COG0176	Transaldolase/fructose-6-phosphate aldolase (TalA) (PDB:1F05)	K00616	transaldolase [EC:2.2.1.2]
1978	2244812	2245751	COG0042	tRNA-dihydrouridine synthase (DusA) (PDB:1VHN)	K05539	tRNA-dihydrouridine synthase A [EC:1.-.-.-]
1979	2282826	2283726	COG1216	Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)	K16870	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]
1980	2283709	2284813	COG0438	Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)	K16699	teichuronic acid biosynthesis glycosyltransferase TuaH [EC:2.4.-.-]
1981	2284809	2286882	COG0438!!!COG1216!!!COG2227	Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)!!!2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase (UbiG) (PDB:1BHJ)	K16870, K16699	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289], teichuronic acid biosynthesis glycosyltransferase TuaH [EC:2.4.-.-]
1982	2286907	2287921	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase (UbiG) (PDB:1BHJ)		
1983	2287959	2290149	COG0438!!!COG1216!!!COG2226	Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)!!!Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)	K16870, K16699	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289], teichuronic acid biosynthesis glycosyltransferase TuaH [EC:2.4.-.-]
1984	2290141	2290843	COG3751	Proline 4-hydroxylase (includes Rps23 Pro-64 3,4-dihydroxylase Tpa1), contains SM-20 domain (EGL9) (PDB:2G19)		
1985	2290839	2292216	COG2327	Polysaccharide pyruvyl transferase family protein WcaK (colanic acid biosynthesis) (WcaK)		
1986	2292212	2293487	COG1134	ABC-type polysaccharide/polyol phosphate transport system, ATPase component (TagH) (PDB:6JBH)	K09691	lipopolysaccharide transport system ATP-binding protein
1987	2293476	2294325	COG1682	ABC-type polysaccharide/teichoic acid/polyol phosphate export permease (TagG) (PDB:6JBH)	K09690	lipopolysaccharide transport system permease protein
1988	2294573	2295224	COG1182	FMN-dependent NADH-azoreductase (AzoR) (PDB:1TIK)	K01118	FMN-dependent NADH-azoreductase [EC:1.7.1.17]
1989	2295321	2296182	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
1990	2296367	2297939	COG3706	Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain (PleD) (PDB:1W25)		
1991	2297942	2298464	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE)	K22441	diamine N-acetyltransferase [EC:2.3.1.57]
1992	2298499	2299075	COG1670	Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)	K22479	N-acetyltransferase
1993	2299277	2300102	COG2162	Arylamine N-acetyltransferase (NhoA) (PDB:1E2T)	K00675	N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]
1994	2300570	2302112	COG2233	Xanthine/uracil permease (UraA) (PDB:3QE7)	K24206	uric acid transporter
1995	2302174	2302762				
1996	2302855	2304013	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)		
1997	2304689	2304887				
1998	2304883	2305117				
1999	2305123	2305321				
2000	2305451	2306648	COG1448	Aspartate/aromatic aminotransferase (TyrB) (PDB:1AAM)	K00832	aromatic-amino-acid transaminase [EC:2.6.1.57]
2001	2306985	2309001	COG0556	Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O)	K03702	excinuclease ABC subunit B
2002	2309113	2310664	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)	K03446	MFS transporter, DHA2 family, multidrug resistance protein
2003	2310653	2311700	COG1566	Multidrug resistance efflux pump EmrA (EmrA) (PDB:4TKO)	K03543	membrane fusion protein, multidrug efflux system
2004	2311932	2313414	COG0008	Glutamyl- or glutaminyl-tRNA synthetase (GlnS) (PDB:1EUQ)	K01885	glutamyl-tRNA synthetase [EC:6.1.1.17]
2005	2314389	2314929	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)	K16137	TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
2006	2314955	2315789	COG2267	Lysophospholipase, alpha-beta hydrolase superfamily (PldB) (PDB:5O7G)		
2007	2315837	2316272	COG0824	Acyl-CoA thioesterase FadM (FadM) (PDB:2FUJ)	K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]
2008	2316416	2317376	COG0042	tRNA-dihydrouridine synthase (DusA) (PDB:1VHN)	K05541	tRNA-dihydrouridine synthase C [EC:1.-.-.-]
2009	2317490	2317937	COG0071	Small heat shock protein IbpA, HSP20 family (IbpA) (PDB:1GME)	K04080	molecular chaperone IbpA
2010	2317985	2321264	COG2202!!!COG5001	PAS domain (PAS) (PDB:2MWG)!!!Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain	K20965, K21084	c-di-GMP phosphodiesterase [EC:3.1.4.52], diguanylate cyclase [EC:2.7.7.65]
2011	2321347	2322238	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
2012	2322391	2323810	COG0065	Homoaconitase/3-isopropylmalate dehydratase large subunit (LeuC) (PDB:4KP1)	K01703	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]
2013	2323820	2324465	COG0066	3-isopropylmalate dehydratase small subunit (LeuD) (PDB:3Q3W)	K01704	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]
2014	2324559	2325324	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)		
2015	2325375	2326458	COG0473	Isocitrate/isopropylmalate dehydrogenase (LeuB) (PDB:1GC9)	K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]
2016	2326512	2327625	COG0136	Aspartate-semialdehyde dehydrogenase (Asd) (PDB:1BRM)	K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
2017	2327805	2328816	COG0136	Aspartate-semialdehyde dehydrogenase (Asd) (PDB:1BRM)	K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
2018	2329021	2331598	COG3170	Type IV pilus assembly protein FimV (FimV)	K08086	pilus assembly protein FimV
2019	2331675	2332335	COG0006	Xaa-Pro aminopeptidase (PepP) (PDB:1A16)		
2020	2332533	2333388	COG0101	tRNA U38,U39,U40 pseudouridine synthase TruA (TruA) (PDB:1DJ0)	K06173	tRNA pseudouridine38-40 synthase [EC:5.4.99.12]
2021	2333449	2334082	COG0135	Phosphoribosylanthranilate isomerase (TrpF) (PDB:1DL3)	K01817	phosphoribosylanthranilate isomerase [EC:5.3.1.24]
2022	2334341	2335262	COG0777	Acetyl-CoA carboxylase beta subunit (AccD) (PDB:2F9I)	K01963	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
2023	2335258	2336566	COG0285	Folylpolyglutamate synthase/Dihydropteroate synthase (FolC) (PDB:1W78)	K11754	dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]
2024	2336549	2337203	COG3147	Cell division protein DedD (periplasmic protein involved in septation) (DedD)	K03749	DedD protein
2025	2337301	2337859	COG1286	Colicin V production accessory protein CvpA, regulator of purF expression and biofilm formation (CvpA) (PUBMED:27795353)	K03558	membrane protein required for colicin V production
2026	2337900	2339406	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase (PurF) (PDB:1ECB)	K00764	amidophosphoribosyltransferase [EC:2.4.2.14]
2027	2339442	2340654	COG0626	Cystathionine beta-lyase/cystathionine gamma-synthase (MetC) (PDB:1CL1)	K10764	O-succinylhomoserine sulfhydrylase [EC:2.5.1.-]
2028	2340650	2341427	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)		
2029	2342181	2343465	COG0665	Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)	K09471	gamma-glutamylputrescine oxidase [EC:1.4.3.-]
2030	2343873	2344509	COG0110	Acetyltransferase, isoleucine patch superfamily (WbbJ)	K00638	chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]
2031	2344651	2345272	COG1186	Protein chain release factor PrfB (PrfB) (PDB:1GQE)	K02839	peptide chain release factor
2032	2345271	2346405	COG1690	RNA-splicing ligase RtcB, repairs tRNA damage (RtcB) (PDB:1UC2)	K18148	release factor H-coupled RctB family protein
2033	2346679	2347000	COG1396	Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)	K22300	HTH-type transcriptional regulator, cell division transcriptional repressor
2034	2347088	2347439				
2035	2347782	2348412	COG3397	Predicted carbohydrate-binding protein, contains CBM5 and CBM33 domains (PDB:4YN1)		
2036	2348457	2349924	COG3469!!!COG3979	Chitinase (Chi1) (PDB:4AXN)!!!Chitodextrinase (PDB:1WVU)		
2037	2349940	2350549	COG3556	Uncharacterized membrane protein	K08983	putative membrane protein
2038	2350628	2351069	COG0346	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)		
2039	2351307	2351502	COG1551	sRNA-binding carbon storage regulator CsrA (CsrA) (PDB:1T3O)	K03563	carbon storage regulator
2040	2351752	2352118	COG3147	Cell division protein DedD (periplasmic protein involved in septation) (DedD)		
2041	2352169	2352859	COG2356	Endonuclease I (EndA) (PDB:1OUO)	K01150	deoxyribonuclease I [EC:3.1.21.1]
2042	2352863	2353103				
2043	2353320	2354409	COG0252	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D (AnsA) (PDB:1ZQ1)	K05597, K01424	glutamin-(asparagin-)ase [EC:3.5.1.38], L-asparaginase [EC:3.5.1.1]
2044	2354747	2355197				
2045	2355469	2356426	COG1879	ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain (RbsB) (PDB:1BA2)	K10439	ribose transport system substrate-binding protein
2046	2356483	2358037	COG1129	ABC-type sugar transport system, ATPase component (MglA)		
2047	2358033	2359008	COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component (AraH)		
2048	2359011	2360034	COG1609	DNA-binding transcriptional regulator, LacI/PurR family (PurR) (PDB:1BDH)	K02529	LacI family transcriptional regulator
2049	2360058	2360976	COG0524	Sugar or nucleoside kinase, ribokinase family (RbsK) (PDB:2QCV)	K00852	ribokinase [EC:2.7.1.15]
